Country,State,Date,Sex,Age,Deaths
USA,Iowa,2020-09-26,m,5,0
USA,Iowa,2020-09-26,m,15,0
USA,Iowa,2020-09-26,m,25,5
USA,Iowa,2020-09-26,m,35,13
USA,Iowa,2020-09-26,m,45,33
USA,Iowa,2020-09-26,m,55,95
USA,Iowa,2020-09-26,m,65,156
USA,Iowa,2020-09-26,m,75,174
USA,Iowa,2020-09-26,m,85,207
USA,Iowa,2020-09-26,m,TOT,683
USA,Kansas,2020-09-26,b,TOT,709
USA,Kansas,2020-09-26,f,0,0
USA,Kansas,2020-09-26,f,1,0
USA,Kansas,2020-09-26,f,5,0
USA,Kansas,2020-09-26,f,15,1
USA,Kansas,2020-09-26,f,25,2
USA,Kansas,2020-09-26,f,35,5
USA,Kansas,2020-09-26,f,45,13
USA,Kansas,2020-09-26,f,55,31
USA,Kansas,2020-09-26,f,65,48
USA,Kansas,2020-09-26,f,75,71
USA,Kansas,2020-09-26,f,85,133
USA,Kansas,2020-09-26,f,TOT,303
USA,Kansas,2020-09-26,m,0,0
USA,Kansas,2020-09-26,m,1,0
USA,Kansas,2020-09-26,m,5,0
USA,Kansas,2020-09-26,m,15,1
USA,Kansas,2020-09-26,m,25,3
USA,Kansas,2020-09-26,m,35,9
USA,Kansas,2020-09-26,m,45,22
USA,Kansas,2020-09-26,m,55,62
USA,Kansas,2020-09-26,m,65,93
USA,Kansas,2020-09-26,m,75,113
USA,Kansas,2020-09-26,m,85,103
USA,Kansas,2020-09-26,m,TOT,406
USA,Kentucky,2020-09-26,b,TOT,1205
USA,Kentucky,2020-09-26,f,0,0
USA,Kentucky,2020-09-26,f,1,0
USA,Kentucky,2020-09-26,f,5,0
USA,Kentucky,2020-09-26,f,15,0
USA,Kentucky,2020-09-26,f,25,1
USA,Kentucky,2020-09-26,f,35,3
USA,Kentucky,2020-09-26,f,45,16
USA,Kentucky,2020-09-26,f,55,56
USA,Kentucky,2020-09-26,f,65,107
USA,Kentucky,2020-09-26,f,75,175
USA,Kentucky,2020-09-26,f,85,279
USA,Kentucky,2020-09-26,f,TOT,637
USA,Kentucky,2020-09-26,m,0,0
USA,Kentucky,2020-09-26,m,1,0
USA,Kentucky,2020-09-26,m,5,0
USA,Kentucky,2020-09-26,m,15,0
USA,Kentucky,2020-09-26,m,25,2
USA,Kentucky,2020-09-26,m,35,17
USA,Kentucky,2020-09-26,m,45,27
USA,Kentucky,2020-09-26,m,55,76
USA,Kentucky,2020-09-26,m,65,172
USA,Kentucky,2020-09-26,m,75,152
USA,Kentucky,2020-09-26,m,85,122
USA,Kentucky,2020-09-26,m,TOT,568
USA,Louisiana,2020-09-26,b,TOT,4768
USA,Louisiana,2020-09-26,f,0,1
USA,Louisiana,2020-09-26,f,1,0
USA,Louisiana,2020-09-26,f,5,0
USA,Louisiana,2020-09-26,f,15,4
USA,Louisiana,2020-09-26,f,25,17
USA,Louisiana,2020-09-26,f,35,49
USA,Louisiana,2020-09-26,f,45,103
USA,Louisiana,2020-09-26,f,55,280
USA,Louisiana,2020-09-26,f,65,428
USA,Louisiana,2020-09-26,f,75,660
USA,Louisiana,2020-09-26,f,85,715
USA,Louisiana,2020-09-26,f,TOT,2256
USA,Louisiana,2020-09-26,m,0,0
USA,Louisiana,2020-09-26,m,1,1
USA,Louisiana,2020-09-26,m,5,1
USA,Louisiana,2020-09-26,m,15,10
USA,Louisiana,2020-09-26,m,25,20
USA,Louisiana,2020-09-26,m,35,57
USA,Louisiana,2020-09-26,m,45,151
USA,Louisiana,2020-09-26,m,55,369
USA,Louisiana,2020-09-26,m,65,653
USA,Louisiana,2020-09-26,m,75,742
USA,Louisiana,2020-09-26,m,85,509
USA,Louisiana,2020-09-26,m,TOT,2512
USA,Maine,2020-09-26,b,TOT,159
USA,Maine,2020-09-26,f,0,0
USA,Maine,2020-09-26,f,1,0
USA,Maine,2020-09-26,f,5,0
USA,Maine,2020-09-26,f,15,0
USA,Maine,2020-09-26,f,25,0
USA,Maine,2020-09-26,f,35,1
USA,Maine,2020-09-26,f,45,1
USA,Maine,2020-09-26,f,55,3
USA,Maine,2020-09-26,f,65,10
USA,Maine,2020-09-26,f,75,26
USA,Maine,2020-09-26,f,85,43
USA,Maine,2020-09-26,f,TOT,84
USA,Maine,2020-09-26,m,0,0
USA,Maine,2020-09-26,m,1,0
USA,Maine,2020-09-26,m,5,0
USA,Maine,2020-09-26,m,15,0
USA,Maine,2020-09-26,m,25,1
USA,Maine,2020-09-26,m,35,1
USA,Maine,2020-09-26,m,45,3
USA,Maine,2020-09-26,m,55,7
USA,Maine,2020-09-26,m,65,20
USA,Maine,2020-09-26,m,75,22
USA,Maine,2020-09-26,m,85,21
USA,Maine,2020-09-26,m,TOT,75
USA,Maryland,2020-09-26,b,TOT,4232
USA,Maryland,2020-09-26,f,0,0
USA,Maryland,2020-09-26,f,1,0
USA,Maryland,2020-09-26,f,5,0
USA,Maryland,2020-09-26,f,15,3
USA,Maryland,2020-09-26,f,25,9
USA,Maryland,2020-09-26,f,35,25
USA,Maryland,2020-09-26,f,45,81
USA,Maryland,2020-09-26,f,55,187
USA,Maryland,2020-09-26,f,65,365
USA,Maryland,2020-09-26,f,75,551
USA,Maryland,2020-09-26,f,85,849
USA,Maryland,2020-09-26,f,TOT,2070
USA,Maryland,2020-09-26,m,0,0
USA,Maryland,2020-09-26,m,1,0
USA,Maryland,2020-09-26,m,5,0
USA,Maryland,2020-09-26,m,15,6
USA,Maryland,2020-09-26,m,25,31
USA,Maryland,2020-09-26,m,35,67
USA,Maryland,2020-09-26,m,45,136
USA,Maryland,2020-09-26,m,55,335
USA,Maryland,2020-09-26,m,65,475
USA,Maryland,2020-09-26,m,75,608
USA,Maryland,2020-09-26,m,85,504
USA,Maryland,2020-09-26,m,TOT,2162
USA,Massachusetts,2020-09-26,b,TOT,8062
USA,Massachusetts,2020-09-26,f,0,0
USA,Massachusetts,2020-09-26,f,1,0
USA,Massachusetts,2020-09-26,f,5,0
USA,Massachusetts,2020-09-26,f,15,2
USA,Massachusetts,2020-09-26,f,25,7
USA,Massachusetts,2020-09-26,f,35,14
USA,Massachusetts,2020-09-26,f,45,65
USA,Massachusetts,2020-09-26,f,55,203
USA,Massachusetts,2020-09-26,f,65,496
USA,Massachusetts,2020-09-26,f,75,1065
USA,Massachusetts,2020-09-26,f,85,2454
USA,Massachusetts,2020-09-26,f,TOT,4306
