Region,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Northeast,f,75,2020-05-15,8788.49776669007,8759.631395758859,8826.12418274694,422854.43016462924
Northeast,f,75,2020-06-15,8947.05087725397,8875.29923247024,9013.971386856356,564265.5129498353
Northeast,f,75,2020-07-15,9147.520230683353,9107.364295365305,9274.046139113478,705909.1796165014
Northeast,f,75,2020-08-15,9437.291922321396,9490.126497222387,9656.80834097056,847788.7924128098
Northeast,f,75,2020-09-15,9541.961636220174,9527.57474111206,9833.357675479325,989910.4661580706
Northeast,f,75,2020-10-15,9730.450162799898,9810.646103911495,10129.815633758564,1132283.4428763054
Northeast,f,75,2020-11-15,10118.85940741324,10335.172766316742,10654.342296163812,1274920.0917962473
Northeast,f,75,2020-12-15,12250.969582970121,12491.348949043906,12810.518478890974,1417835.9093513403
Northeast,f,75,2021-01-15,14304.109826250145,14558.983839846938,14878.153369694008,1561049.51917974
Northeast,f,75,2021-02-15,14729.06673002785,15008.099426786805,15366.058509682107,1704582.6721243127
Northeast,f,75,2021-03-15,14871.644425984758,15207.714401319572,15610.312786636669,1848460.2462326367
Northeast,f,75,2021-04-15,14944.971418904175,15240.826112847995,15783.247454110342,1992710.2467570014
Northeast,f,85,2020-03-15,994.115075747965,1058.274231343977,1100.7394905874917,84959.27270267639
Northeast,f,85,2020-04-15,12640.560317508747,12698.779944508782,12754.172671682132,169967.18289400273
Northeast,f,85,2020-05-15,16626.88038740539,16703.334849912062,16766.859939894246,255023.5707795935
Northeast,f,85,2020-06-15,16673.987943186567,16735.540377960373,16903.79909344467,340127.59216499067
Northeast,f,85,2020-07-15,16868.99588493569,16751.30932913419,17145.044803018765,425277.718455664
Northeast,f,85,2020-08-15,17100.517307883256,16766.854798974116,17402.053126401184,510471.89705352753
Northeast,f,85,2020-09-15,17134.39523130032,16676.117301600934,17574.470482915018,595708.1929430062
Northeast,f,85,2020-10-15,17326.17378280888,16828.37188845554,17864.52551668363,680984.9490875525
Northeast,f,85,2020-11-15,18109.71904226989,17576.355720295986,18722.846495734768,766300.7864296465
Northeast,f,85,2020-12-15,21612.00116583051,21093.25688876995,22239.74766420873,851654.6038907961
Northeast,f,85,2021-01-15,24521.06461425606,24043.678816494295,25190.169591933074,937045.5783715366
Northeast,f,85,2021-02-15,24521.06461425606,23486.634241299613,25249.33934778065,1022473.1647514306
Northeast,f,85,2021-03-15,24521.06461425606,22501.235067436017,25249.33934778065,1107937.095889069
Northeast,f,85,2021-04-15,24521.06461425606,21375.33639975984,25249.84546306752,1193437.3826220692
Northeast,m,0,2020-03-15,156.55455341950756,261.5522296267486,265.0643444405692,1198008.850857594
Northeast,m,0,2020-04-15,670.7194269321631,797.9526558311163,806.1523240120097,2395823.926470572
Northeast,m,0,2020-05-15,1025.3308947334694,1160.7155680851863,1169.8809675725556,3593438.8797747903
Northeast,m,0,2020-06-15,1242.7955762998076,1427.8525869659925,1437.0179864533618,4790848.009332538
Northeast,m,0,2020-07-15,1603.5102011754927,1797.3641494984442,1806.5295489858136,5988046.2593325395
