State,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Louisiana,t,65,2021-03-15,2769.917600169335,2888.348810515038,2888.348810515038,487304.1549611579
Louisiana,t,65,2021-04-15,2769.917600169335,2897.2798919778597,2897.2798919778597,525503.2343180137
Louisiana,t,75,2020-03-15,185.50669276166502,185.50669276166502,185.50669276166502,17957.918691013543
Louisiana,t,75,2020-04-15,723.4898119423268,723.4898119423268,723.4898119423268,35949.694382129725
Louisiana,t,75,2020-05-15,966.5753332122,966.5753332122,966.5753332122,53974.83264387517
Louisiana,t,75,2020-06-15,966.5753332122,1036.0643532122185,1036.0643532122185,72032.8690181305
Louisiana,t,75,2020-07-15,1246.7681156824008,1316.2571356824192,1316.2571356824192,90123.36901813041
Louisiana,t,75,2020-08-15,1621.2663732070973,1690.755393207116,1690.755393207116,108246.00331184662
Louisiana,t,75,2020-09-15,1763.6591535869347,1833.1481735869531,1833.1481735869531,126400.84845552013
Louisiana,t,75,2020-10-15,1908.2320763873718,1977.7210963873904,1977.7210963873904,144588.46207704418
Louisiana,t,75,2020-11-15,1983.3020202832706,2052.791040283289,2052.791040283289,162809.88287596428
Louisiana,t,75,2020-12-15,2337.563548418404,2407.052568418422,2407.052568418422,181066.63062347827
Louisiana,t,75,2021-01-15,2768.739526278078,2838.2285462780965,2838.2285462780965,199360.70616243617
Louisiana,t,75,2021-02-15,2895.2402558293406,2964.7292758293593,2964.7292758293593,217694.5914073403
Louisiana,t,75,2021-03-15,3003.4357836454947,3072.9248036455133,3072.9248036455133,236071.24934434536
Louisiana,t,75,2021-04-15,3003.4357836454947,3038.417501367084,3072.9248036455133,254494.1240312582
Louisiana,t,85,2020-03-15,195.3031351687266,195.3031351687266,195.3031351687266,8215.705671399814
Louisiana,t,85,2020-04-15,716.535975490377,716.535975490377,716.535975490377,16440.166061961805
Louisiana,t,85,2020-05-15,926.113313250049,926.113313250049,926.113313250049,24673.458596862427
Louisiana,t,85,2020-06-15,1070.6193378002004,1070.6193378002004,1070.6193378002004,32915.64892150156
Louisiana,t,85,2020-07-15,1384.6469468864402,1384.6469468864402,1384.6469468864402,41166.790901502565
Louisiana,t,85,2020-08-15,1706.8837955170764,1706.8837955170764,1706.8837955170764,49426.928624381646
Louisiana,t,85,2020-09-15,1801.60128432738,1801.60128432738,1801.60128432738,57696.10440622563
Louisiana,t,85,2020-10-15,1801.60128432738,1857.1931620328944,1857.1931620328944,65974.36079336135
Louisiana,t,85,2020-11-15,1878.8695779658408,1934.4614556713552,1934.4614556713552,74261.74056235567
Louisiana,t,85,2020-12-15,2115.3046695132048,2170.896547218719,2170.896547218719,82558.28672001544
Louisiana,t,85,2021-01-15,2487.1808990927193,2542.7727767982337,2542.7727767982337,90864.0425033876
Louisiana,t,85,2021-02-15,2487.1808990927193,2523.264488575591,2542.7727767982337,99179.05137975901
Louisiana,t,85,2021-03-15,2487.1808990927193,2517.1940648216064,2542.7727767982337,107503.35704665666
Louisiana,t,85,2021-04-15,2487.1808990927193,2436.4973892049175,2542.7727767982337,115837.00343184746
Maine,f,0,2020-03-15,0,-1.9637415924280859,0,25975.707746632088
Maine,f,0,2020-04-15,0,-9.964071995357063,0,51934.95480701429
Maine,f,0,2020-05-15,0,-16.000740056387716,0,77877.28318754041
Maine,f,0,2020-06-15,0,-22.073471771022273,0,103802.20563460539
Maine,f,0,2020-07-15,0,-17.181970051039805,4.891501719982468,129709.20563460536
Maine,f,0,2020-08-15,0,-23.325920814971635,4.891501719982468,155597.74643673786
Maine,f,0,2020-09-15,0,-24.505018183089163,4.891501719982468,181467.30714420273
Maine,f,0,2020-10-15,0,-28.718970937794776,4.891501719982468,207317.3917370023
Maine,f,0,2020-11-15,0,-37.96750269523023,4.891501719982468,233147.52907194145
Maine,f,0,2020-12-15,0,-42.25035207806618,4.891501719982468,258957.27288262756
Maine,f,0,2021-01-15,0,-46.567272889478915,4.891501719982468,284746.20177947055
Maine,f,0,2021-02-15,0,-48.918034288320996,4.891501719982468,310513.91924968286
Maine,f,0,2021-03-15,0,-49.302420965492075,4.891501719982468,336260.05365727935
Maine,f,0,2021-04-15,0,-54.72023332151649,4.891501719982468,361984.2582430776
Maine,f,40,2020-03-15,0,1.3769560759472768,1.3769560759472768,20895.27511708372
Maine,f,40,2020-04-15,0,3.0097752256144616,3.0097752256144616,41783.694081591144
Maine,f,40,2020-05-15,0,5.896647910624594,5.896647910624594,62665.51975058533
Maine,f,40,2020-06-15,0,8.035707451518675,8.035707451518675,83541.03306884013
Maine,f,40,2020-07-15,0,18.425030758814714,18.425030758814714,104410.53306884019
Maine,f,40,2020-08-15,0,18.062664594947066,18.425030758814714,125274.33007179867
Maine,f,40,2020-09-15,0,21.946727850098767,22.309094013966416,146132.71849172778
Maine,f,40,2020-10-15,0,38.075436177628106,38.437802341495754,166985.97003645657
Maine,f,40,2020-11-15,0,36.447100952531954,38.437802341495754,187834.3337076308
Maine,f,40,2020-12-15,27.613027284729668,64.06012823726162,66.05082962622542,208678.0358007131
Maine,f,40,2021-01-15,53.46591680231562,89.91301775484757,91.90371914381137,229517.27990498283
Maine,f,40,2021-02-15,53.46591680231562,89.00436186929252,91.90371914381137,250352.24690353603
Maine,f,40,2021-03-15,53.46591680231562,92.33284457319084,95.23220184770969,271183.0949732857
Maine,f,40,2021-04-15,53.46591680231562,101.89724048253316,104.79659775705201,292009.95958496147
Maine,f,65,2020-03-15,0,-10.604126950923359,0,7422.440550659
Maine,f,65,2020-04-15,0,-3.6643232740490532,6.939803676874305,14869.351159988812
Maine,f,65,2020-05-15,0,7.451563444958865,18.055690395882223,22340.895159895834
Maine,f,65,2020-06-15,0,1.3504419597658597,18.055690395882223,29837.244021424714
Maine,f,65,2020-07-15,0,11.029210630759962,27.734459066876326,37358.577354758345
Maine,f,65,2020-08-15,0,25.325333838137766,42.03058227425413,44905.059788518265
Maine,f,65,2020-09-15,0,40.36651064214341,57.071759078259774,52476.748486966266
Maine,f,65,2020-10-15,23.652709036004964,64.01921967814837,80.72446811426474,60073.57002930474
Maine,f,65,2020-11-15,23.652709036004964,81.27196997076427,97.97721840688064,67695.32040967674
Maine,f,65,2020-12-15,23.652709036004964,85.38125462505631,102.08650306117268,75341.66503716596
Maine,f,65,2021-01-15,23.652709036004964,96.59729131858907,113.30253975470544,83012.1387357967
Maine,f,65,2021-02-15,23.652709036004964,86.47172218845331,113.30253975470544,90706.14574453393
Maine,f,65,2021-03-15,23.652709036004964,78.0256407225302,113.30253975470544,98422.95971728321
Maine,f,65,2021-04-15,23.652709036004964,95.16115025574334,130.43804928791857,106161.7237228908
Maine,f,75,2020-03-15,0,-15.970530393084772,0,3901.2570570473617
Maine,f,75,2020-04-15,0,-24.708355884507114,0,7811.165249900267
Maine,f,75,2020-05-15,0,-50.56219443392007,0,11729.625137299352
Maine,f,75,2020-06-15,0,-79.69884954963146,0,15656.554373140247
Maine,f,75,2020-07-15,0,-94.891715622958,0,19591.88770647358
Maine,f,75,2020-08-15,0,-87.97258308515705,6.919132537800948,23535.59377419462
Maine,f,75,2020-09-15,0,-89.16655061046808,6.919132537800948,27487.74227180192
Maine,f,75,2020-10-15,0,-93.39955562203968,6.919132537800948,31448.520746086946
Maine,f,75,2020-11-15,0,-84.60669322631014,15.711994933530491,35418.23459513409
Maine,f,75,2020-12-15,0,-73.13335297671051,27.18533518313012,39397.30706832067
Maine,f,75,2021-01-15,0,-67.45478307023106,32.863905089609574,43386.27926631694
Maine,f,75,2021-02-15,0,-103.47188456987129,32.863905089609574,47385.81014108606
Maine,f,75,2021-03-15,0,-128.42638238378186,32.863905089609574,51396.67649588414
Maine,f,75,2021-04-15,0,-141.10894170950905,32.863905089609574,55419.772985260184
Maine,f,85,2020-03-15,0,-11.856042373496962,0,2213.430707682839
Maine,f,85,2020-04-15,0,-19.373484877754322,0,4429.1781404826
Maine,f,85,2020-05-15,0,-12.039354347663817,7.334130530090505,6647.231919612568
Maine,f,85,2020-06-15,0,-3.795867836347668,15.577617041406654,8867.568665761803
Maine,f,85,2020-07-15,0,10.613825341721537,29.98731021947586,11090.151999095127
Maine,f,85,2020-08-15,51.67118051470135,62.285005856422885,81.6584907341772,13314.935882678155
Maine,f,85,2020-09-15,51.67118051470135,83.55609810401359,102.92958298176791,15541.877996177327
Maine,f,85,2020-10-15,51.67118051470135,90.44815780632223,109.82164268407655,17770.94307928492
Maine,f,85,2020-11-15,51.67118051470135,114.31494026996472,133.68842514771904,20002.102931719062
Maine,f,85,2020-12-15,124.62808479870074,187.27184455396412,206.64532943171844,22235.33641322372
Maine,f,85,2021-01-15,124.62808479870074,223.34013765090543,242.71362252865976,24470.629443568694
