Country,Region,Date,Sex,Age,AgeInt,Metric,Measure,Value
USA,Alaska,2020-09-26,m,55,10,Count,Deaths,4
USA,Alaska,2020-09-26,m,65,10,Count,Deaths,6
USA,Alaska,2020-09-26,m,75,10,Count,Deaths,10
USA,Alaska,2020-09-26,m,85,20,Count,Deaths,6
USA,Alaska,2020-09-26,m,TOT,NA,Count,Deaths,27
USA,Arizona,2020-09-26,b,TOT,NA,Count,Deaths,4992
USA,Arizona,2020-09-26,f,0,1,Count,Deaths,0
USA,Arizona,2020-09-26,f,1,4,Count,Deaths,0
USA,Arizona,2020-09-26,f,5,10,Count,Deaths,0
USA,Arizona,2020-09-26,f,15,10,Count,Deaths,6
USA,Arizona,2020-09-26,f,25,10,Count,Deaths,30
USA,Arizona,2020-09-26,f,35,10,Count,Deaths,58
USA,Arizona,2020-09-26,f,45,10,Count,Deaths,112
USA,Arizona,2020-09-26,f,55,10,Count,Deaths,292
USA,Arizona,2020-09-26,f,65,10,Count,Deaths,459
USA,Arizona,2020-09-26,f,75,10,Count,Deaths,558
USA,Arizona,2020-09-26,f,85,20,Count,Deaths,607
USA,Arizona,2020-09-26,f,TOT,NA,Count,Deaths,2122
USA,Arizona,2020-09-26,m,0,1,Count,Deaths,0
USA,Arizona,2020-09-26,m,1,4,Count,Deaths,1
USA,Arizona,2020-09-26,m,5,10,Count,Deaths,3
USA,Arizona,2020-09-26,m,15,10,Count,Deaths,14
USA,Arizona,2020-09-26,m,25,10,Count,Deaths,56
USA,Arizona,2020-09-26,m,35,10,Count,Deaths,110
USA,Arizona,2020-09-26,m,45,10,Count,Deaths,245
USA,Arizona,2020-09-26,m,55,10,Count,Deaths,498
USA,Arizona,2020-09-26,m,65,10,Count,Deaths,673
USA,Arizona,2020-09-26,m,75,10,Count,Deaths,744
USA,Arizona,2020-09-26,m,85,20,Count,Deaths,526
USA,Arizona,2020-09-26,m,TOT,NA,Count,Deaths,2870
USA,Arkansas,2020-09-26,b,TOT,NA,Count,Deaths,1173
USA,Arkansas,2020-09-26,f,0,1,Count,Deaths,0
USA,Arkansas,2020-09-26,f,1,4,Count,Deaths,0
USA,Arkansas,2020-09-26,f,5,10,Count,Deaths,0
USA,Arkansas,2020-09-26,f,15,10,Count,Deaths,2
USA,Arkansas,2020-09-26,f,25,10,Count,Deaths,7
USA,Arkansas,2020-09-26,f,35,10,Count,Deaths,12
USA,Arkansas,2020-09-26,f,45,10,Count,Deaths,21
USA,Arkansas,2020-09-26,f,55,10,Count,Deaths,63
USA,Arkansas,2020-09-26,f,65,10,Count,Deaths,90
USA,Arkansas,2020-09-26,f,75,10,Count,Deaths,137
USA,Arkansas,2020-09-26,f,85,20,Count,Deaths,211
USA,Arkansas,2020-09-26,f,TOT,NA,Count,Deaths,543
USA,Arkansas,2020-09-26,m,0,1,Count,Deaths,0
USA,Arkansas,2020-09-26,m,1,4,Count,Deaths,0
USA,Arkansas,2020-09-26,m,5,10,Count,Deaths,0
USA,Arkansas,2020-09-26,m,15,10,Count,Deaths,2
